Rank	NickName	HeroId	Level	FightScore	EquipInfo	XSoulInfo	PartnerInfo	SkillInfo
4838	沃伦罗伯茨	2	40	9000	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	120001*1*0|120141*40*1|120241*40*2|120341*40*3|120641*40*4
4839	穆语坚	1	40	9000	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	160001*1*0|160201*40*1|160801*40*2|160401*40*3|161001*40*4
4840	欧阳飞鸿	2	40	9000	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	120001*1*0|120141*40*1|120241*40*2|120341*40*3|120641*40*4
4841	伍贵平	1	40	9000	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	160001*1*0|160801*40*1|160401*40*2|161601*40*3|160101*40*4
4842	姬思昱	2	40	9000	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	120001*1*0|120241*40*1|120341*40*2|120541*40*3|120841*40*4
4843	邬镜群	1	40	9000	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	160001*1*0|160801*40*1|160401*40*2|161601*40*3|160101*40*4
4844	迈克雨果	2	40	9000	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	120001*1*0|120241*40*1|120341*40*2|120541*40*3|120841*40*4
4845	宇文乐人	1	40	9000	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	160001*1*0|160201*40*1|160401*40*2|161001*40*3|161601*40*4
4846	赫连良才	2	40	9000	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	120001*1*0|120141*40*1|120341*40*2|120641*40*3|120541*40*4
4847	苏珊布鲁姆	1	40	9000	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	160001*1*0|160201*40*1|160401*40*2|161001*40*3|161601*40*4
4848	夏侯睿思	2	40	9000	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	120001*1*0|120141*40*1|120341*40*2|120641*40*3|120541*40*4
4849	伊登	1	40	9000	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	160001*1*0|160401*40*1|161001*40*2|161601*40*3|160101*40*4
4850	班杰明克鲁斯	2	40	9000	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	120001*1*0|120341*40*1|120641*40*2|120541*40*3|120841*40*4
4851	詹妮弗居里	1	40	9000	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	160001*1*0|160401*40*1|161001*40*2|161601*40*3|160101*40*4
4852	卡尔牛顿	2	40	9000	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	120001*1*0|120341*40*1|120641*40*2|120541*40*3|120841*40*4
4853	米佳宸	1	40	9000	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	160001*1*0|160801*40*1|160401*40*2|161001*40*3|161601*40*4
4854	艾富里	2	40	9000	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	120001*1*0|120241*40*1|120341*40*2|120641*40*3|120541*40*4
4855	端木锐达	1	40	9000	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	160001*1*0|160801*40*1|160401*40*2|161001*40*3|161601*40*4
4856	鬼影手X柏芝	2	40	9000	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	120001*1*0|120241*40*1|120341*40*2|120641*40*3|120541*40*4
4857	罗密欧科波拉	1	40	9000	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	160001*1*0|160201*40*1|160801*40*2|160401*40*3|161001*40*4
4858	杰西卡阿尔芭	2	40	9000	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	120001*1*0|120141*40*1|120241*40*2|120341*40*3|120641*40*4
4859	詹妮弗格兰特	1	40	9000	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	160001*1*0|160201*40*1|160801*40*2|160401*40*3|161001*40*4
4860	班杰明普希金	2	40	9000	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	120001*1*0|120141*40*1|120241*40*2|120341*40*3|120641*40*4
4861	摩根德普	1	40	9000	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10007*8*4|10006*8*4|10005*8*4	160001*1*0|160801*40*1|160401*40*2|161601*40*3|160101*40*4
4862	东方乐圣	2	40	9000	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10007*8*4|10006*8*4|10005*8*4	120001*1*0|120241*40*1|120341*40*2|120541*40*3|120841*40*4
4863	苗哲霖	1	40	9000	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10007*8*4|10006*8*4|10005*8*4	160001*1*0|160801*40*1|160401*40*2|161601*40*3|160101*40*4
4864	巴顿罗斯	2	40	9000	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10007*8*4|10006*8*4|10005*8*4	120001*1*0|120241*40*1|120341*40*2|120541*40*3|120841*40*4
4865	诸葛明亮	1	40	9000	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10007*8*4|10006*8*4|10005*8*4	160001*1*0|160201*40*1|160401*40*2|161001*40*3|161601*40*4
4866	殷垒	2	40	9000	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10007*8*4|10006*8*4|10005*8*4	120001*1*0|120141*40*1|120341*40*2|120641*40*3|120541*40*4
4867	米柏宇	1	40	9000	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10007*8*4|10006*8*4|10005*8*4	160001*1*0|160201*40*1|160401*40*2|161001*40*3|161601*40*4
4868	上官正信	2	40	9000	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10007*8*4|10006*8*4|10005*8*4	120001*1*0|120141*40*1|120341*40*2|120641*40*3|120541*40*4
4869	席林轩	1	40	9000	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10007*8*4|10006*8*4|10005*8*4	160001*1*0|160401*40*1|161001*40*2|161601*40*3|160101*40*4
4870	褚鸿云	2	40	9000	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10007*8*4|10006*8*4|10005*8*4	120001*1*0|120341*40*1|120641*40*2|120541*40*3|120841*40*4
4871	苏珊赫本	1	40	9000	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10007*8*4|10006*8*4|10005*8*4	160001*1*0|160401*40*1|161001*40*2|161601*40*3|160101*40*4
4872	吴俊	2	40	9000	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10007*8*4|10006*8*4|10005*8*4	120001*1*0|120341*40*1|120641*40*2|120541*40*3|120841*40*4
4873	窦煜祺	1	40	9000	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10007*8*4|10006*8*4|10005*8*4	160001*1*0|160801*40*1|160401*40*2|161001*40*3|161601*40*4
4874	爱德华	2	40	9000	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10007*8*4|10006*8*4|10005*8*4	120001*1*0|120241*40*1|120341*40*2|120641*40*3|120541*40*4
4875	宇文华辉	1	40	9000	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10007*8*4|10006*8*4|10005*8*4	160001*1*0|160801*40*1|160401*40*2|161001*40*3|161601*40*4
4876	诸葛凯风	2	40	9000	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10007*8*4|10006*8*4|10005*8*4	120001*1*0|120241*40*1|120341*40*2|120641*40*3|120541*40*4
4877	慕容星剑	1	40	9000	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10007*8*4|10006*8*4|10005*8*4	160001*1*0|160201*40*1|160801*40*2|160401*40*3|161001*40*4
4878	戈登	2	40	9000	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10007*8*4|10006*8*4|10005*8*4	120001*1*0|120141*40*1|120241*40*2|120341*40*3|120641*40*4
4879	夏侯天工	1	40	9000	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10007*8*4|10006*8*4|10005*8*4	160001*1*0|160201*40*1|160801*40*2|160401*40*3|161001*40*4
4880	赫连宏远	2	40	9000	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10007*8*4|10006*8*4|10005*8*4	120001*1*0|120141*40*1|120241*40*2|120341*40*3|120641*40*4
4881	罗恩贝尔	1	40	8775	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10008*8*4|10002*8*4|10001*8*4	160001*1*0|160801*39*1|160401*39*2|161601*39*3|160101*39*4
4882	柴正霞	2	40	8775	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10008*8*4|10002*8*4|10001*8*4	120001*1*0|120241*39*1|120341*39*2|120541*39*3|120841*39*4
4883	宇文阳飙	1	40	8775	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10008*8*4|10002*8*4|10001*8*4	160001*1*0|160801*39*1|160401*39*2|161601*39*3|160101*39*4
4884	慕容敏学	2	40	8775	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10008*8*4|10002*8*4|10001*8*4	120001*1*0|120241*39*1|120341*39*2|120541*39*3|120841*39*4
4885	龙云灿	1	40	8775	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10008*8*4|10002*8*4|10001*8*4	160001*1*0|160201*39*1|160401*39*2|161001*39*3|161601*39*4
4886	宗政逸春	2	40	8775	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10008*8*4|10002*8*4|10001*8*4	120001*1*0|120141*39*1|120341*39*2|120641*39*3|120541*39*4
4887	专情的汗	1	40	8775	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10008*8*4|10002*8*4|10001*8*4	160001*1*0|160201*39*1|160401*39*2|161001*39*3|161601*39*4
4888	顾文	2	40	8775	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10008*8*4|10002*8*4|10001*8*4	120001*1*0|120141*39*1|120341*39*2|120641*39*3|120541*39*4
4889	杰C	1	40	8775	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10008*8*4|10002*8*4|10001*8*4	160001*1*0|160401*39*1|161001*39*2|161601*39*3|160101*39*4
4890	汤姆波特	2	40	8775	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10008*8*4|10002*8*4|10001*8*4	120001*1*0|120341*39*1|120641*39*2|120541*39*3|120841*39*4
4891	弗兰西斯爱迪生	1	40	8775	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10008*8*4|10002*8*4|10001*8*4	160001*1*0|160401*39*1|161001*39*2|161601*39*3|160101*39*4
4892	爱乐小主I同方	2	40	8775	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10008*8*4|10002*8*4|10001*8*4	120001*1*0|120341*39*1|120641*39*2|120541*39*3|120841*39*4
4893	蔺米萱	1	40	8775	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10008*8*4|10002*8*4|10001*8*4	160001*1*0|160801*39*1|160401*39*2|161001*39*3|161601*39*4
4894	托马斯杰克逊	2	40	8775	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10008*8*4|10002*8*4|10001*8*4	120001*1*0|120241*39*1|120341*39*2|120641*39*3|120541*39*4
4895	慕容旭尧	1	40	8775	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10008*8*4|10002*8*4|10001*8*4	160001*1*0|160801*39*1|160401*39*2|161001*39*3|161601*39*4
4896	盖尔	2	40	8775	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10008*8*4|10002*8*4|10001*8*4	120001*1*0|120241*39*1|120341*39*2|120641*39*3|120541*39*4
4897	皇甫博容	1	40	8775	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10008*8*4|10002*8*4|10001*8*4	160001*1*0|160201*39*1|160801*39*2|160401*39*3|161001*39*4
4898	拓拔振海	2	40	8775	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10008*8*4|10002*8*4|10001*8*4	120001*1*0|120141*39*1|120241*39*2|120341*39*3|120641*39*4
4899	夏侯明珠	1	40	8775	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10008*8*4|10002*8*4|10001*8*4	160001*1*0|160201*39*1|160801*39*2|160401*39*3|161001*39*4
4900	哈利阿尔芭	2	40	8775	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10008*8*4|10002*8*4|10001*8*4	120001*1*0|120141*39*1|120241*39*2|120341*39*3|120641*39*4
4901	弗兰西斯达蒙	1	40	8775	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	160001*1*0|160801*39*1|160401*39*2|161601*39*3|160101*39*4
4902	苗天戈	2	40	8775	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	120001*1*0|120241*39*1|120341*39*2|120541*39*3|120841*39*4
4903	赫连博雅	1	40	8775	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	160001*1*0|160801*39*1|160401*39*2|161601*39*3|160101*39*4
4904	褚鹏鹍	2	40	8775	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	120001*1*0|120241*39*1|120341*39*2|120541*39*3|120841*39*4
4905	皮特奥斯本	1	40	8775	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	160001*1*0|160201*39*1|160401*39*2|161001*39*3|161601*39*4
4906	柴秀华	2	40	8775	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	120001*1*0|120141*39*1|120341*39*2|120641*39*3|120541*39*4
4907	托马斯杰克曼	1	40	8775	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	160001*1*0|160201*39*1|160401*39*2|161001*39*3|161601*39*4
4908	阿诺罗伯茨	2	40	8775	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	120001*1*0|120141*39*1|120341*39*2|120641*39*3|120541*39*4
4909	席嘉兴	1	40	8775	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	160001*1*0|160401*39*1|161001*39*2|161601*39*3|160101*39*4
4910	东方玉泽	2	40	8775	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	120001*1*0|120341*39*1|120641*39*2|120541*39*3|120841*39*4
4911	弗兰西斯普希金	1	40	8775	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	160001*1*0|160401*39*1|161001*39*2|161601*39*3|160101*39*4
4912	伍润菲	2	40	8775	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	120001*1*0|120341*39*1|120641*39*2|120541*39*3|120841*39*4
4913	詹妮弗乔治	1	40	8775	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	160001*1*0|160801*39*1|160401*39*2|161001*39*3|161601*39*4
4914	端木敏学	2	40	8775	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	120001*1*0|120241*39*1|120341*39*2|120641*39*3|120541*39*4
4915	丹尼尔达蒙	1	40	8775	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	160001*1*0|160801*39*1|160401*39*2|161001*39*3|161601*39*4
4916	杰西卡贝尔	2	40	8775	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	120001*1*0|120241*39*1|120341*39*2|120641*39*3|120541*39*4
4917	不羁少年V星宇	1	40	8775	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	160001*1*0|160201*39*1|160801*39*2|160401*39*3|161001*39*4
4918	欧恩	2	40	8775	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	120001*1*0|120141*39*1|120241*39*2|120341*39*3|120641*39*4
4919	苗霄霆	1	40	8775	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	160001*1*0|160201*39*1|160801*39*2|160401*39*3|161001*39*4
4920	窦和蔼	2	40	8775	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10005*8*4|10002*8*4|10001*8*4	120001*1*0|120141*39*1|120241*39*2|120341*39*3|120641*39*4
4921	席正欣	1	40	8775	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	160001*1*0|160801*39*1|160401*39*2|161601*39*3|160101*39*4
4922	申屠飞扬	2	40	8775	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	120001*1*0|120241*39*1|120341*39*2|120541*39*3|120841*39*4
4923	得文	1	40	8775	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	160001*1*0|160801*39*1|160401*39*2|161601*39*3|160101*39*4
4924	罗恩欧文	2	40	8775	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	120001*1*0|120241*39*1|120341*39*2|120541*39*3|120841*39*4
4925	安吉丽娜德普	1	40	8775	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	160001*1*0|160201*39*1|160401*39*2|161001*39*3|161601*39*4
4926	科林	2	40	8775	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	120001*1*0|120141*39*1|120341*39*2|120641*39*3|120541*39*4
4927	卡尔布莱曼	1	40	8775	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	160001*1*0|160201*39*1|160401*39*2|161001*39*3|161601*39*4
4928	端木鸿朗	2	40	8775	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	120001*1*0|120141*39*1|120341*39*2|120641*39*3|120541*39*4
4929	肖恩欧文	1	40	8775	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	160001*1*0|160401*39*1|161001*39*2|161601*39*3|160101*39*4
4930	我爱杰克逊	2	40	8775	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	120001*1*0|120341*39*1|120641*39*2|120541*39*3|120841*39*4
4931	戴安娜帕克	1	40	8775	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	160001*1*0|160401*39*1|161001*39*2|161601*39*3|160101*39*4
4932	苗粤翎	2	40	8775	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	120001*1*0|120341*39*1|120641*39*2|120541*39*3|120841*39*4
4933	威尔汗	1	40	8775	45201*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301010*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	160001*1*0|160801*39*1|160401*39*2|161001*39*3|161601*39*4
4934	轩辕开朗	2	40	8775	45207*20*46012|45202*20*46012|45203*20*46012|45204*20*46012|45205*20*46012|45206*20*46012|302011*1*0	301020*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	120001*1*0|120241*39*1|120341*39*2|120641*39*3|120541*39*4
4935	穆芳	1	40	8775	45101*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301010*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	160001*1*0|160801*39*1|160401*39*2|161001*39*3|161601*39*4
4936	亚撒	2	40	8775	45107*20*46003|45102*20*46006|45103*20*46006|45104*20*46006|45105*20*46003|45106*20*46003|302011*1*0	301020*8*4800*-1	10004*8*4|10003*8*4|10005*8*4	120001*1*0|120241*39*1|120341*39*2|120641*39*3|120541*39*4
